REPORT_DAT,PSA
12/1/13 18:40,102
12/1/13 18:32,101
12/1/13 16:51,107
12/1/13 15:00,101
12/1/13 12:00,105
12/1/13 12:00,107
12/1/13 11:31,106
12/1/13 11:13,104
12/1/13 10:50,106
12/1/13 9:50,107
11/1/13 22:53,101
11/1/13 22:46,107
11/1/13 14:55,101
11/1/13 11:22,103
11/1/13 10:49,102
10/1/13 22:02,108
10/1/13 21:17,107
10/1/13 18:34,107
10/1/13 16:56,106
10/1/13 16:24,102
10/1/13 15:17,107
10/1/13 12:00,101
10/1/13 9:40,104
9/1/13 20:04,103
9/1/13 19:00,102
9/1/13 18:02,101
9/1/13 16:05,101
9/1/13 9:32,106
9/1/13 7:44,107
8/1/13 19:37,106
8/1/13 18:05,103
8/1/13 14:00,105
8/1/13 11:07,101
8/1/13 10:34,107
8/1/13 10:00,102
8/1/13 9:37,106
8/1/13 8:55,102
7/1/13 20:01,104
7/1/13 19:30,107
7/1/13 18:29,107
7/1/13 16:53,108
7/1/13 15:45,103
7/1/13 9:35,103
7/1/13 9:00,105
6/1/13 18:00,101
6/1/13 15:38,107
6/1/13 15:35,104
6/1/13 9:24,102
6/1/13 0:25,102
5/1/13 21:50,101
5/1/13 17:34,106
5/1/13 17:10,101
5/1/13 16:05,104
5/1/13 15:06,101
5/1/13 13:27,101
5/1/13 11:49,104
5/1/13 11:33,101
4/1/13 21:26,107
4/1/13 20:45,108
4/1/13 16:53,107
4/1/13 16:52,107
4/1/13 16:20,101
4/1/13 15:41,107
4/1/13 14:25,103
4/1/13 14:06,104
4/1/13 11:30,103
4/1/13 11:18,104
3/1/13 21:30,101
3/1/13 19:32,104
3/1/13 16:17,102
3/1/13 15:00,101
3/1/13 11:59,102
3/1/13 11:51,102
2/1/13 21:00,101
2/1/13 17:17,106
2/1/13 16:00,102
2/1/13 15:38,102
2/1/13 13:00,103
2/1/13 10:28,103
2/1/13 10:00,102
2/1/13 7:13,106
1/1/13 13:12,102
1/1/13 9:27,104
1/1/13 3:00,104
31/12/12 16:45,101
31/12/12 11:30,102
31/12/12 10:22,101
30/12/12 21:52,107
30/12/12 21:49,107
30/12/12 9:22,102
29/12/12 17:23,103
29/12/12 13:51,102
29/12/12 10:55,104
29/12/12 10:16,104
29/12/12 6:32,104
28/12/12 20:59,107
28/12/12 19:03,107
28/12/12 19:00,107
28/12/12 16:50,106
28/12/12 14:55,102
28/12/12 12:49,104
27/12/12 20:02,105
27/12/12 18:34,101
27/12/12 18:30,104
27/12/12 15:10,107
27/12/12 13:13,105
27/12/12 13:00,105
27/12/12 1:15,107
25/12/12 21:05,101
25/12/12 14:00,107
25/12/12 6:49,103
24/12/12 19:50,107
24/12/12 11:36,102
24/12/12 7:24,102
23/12/12 18:25,108
23/12/12 17:43,102
23/12/12 15:58,108
22/12/12 19:41,106
22/12/12 18:58,101
22/12/12 17:34,101
22/12/12 16:43,102
22/12/12 13:36,107
22/12/12 11:05,108
22/12/12 9:05,108
21/12/12 23:00,104
21/12/12 19:31,101
21/12/12 19:31,101
21/12/12 18:05,104
21/12/12 17:11,101
21/12/12 13:31,106
21/12/12 3:49,102
21/12/12 0:04,102
20/12/12 20:14,106
20/12/12 19:47,105
20/12/12 18:47,104
20/12/12 17:55,107
20/12/12 16:54,104
20/12/12 15:32,105
20/12/12 15:03,106
20/12/12 15:00,101
20/12/12 12:48,107
20/12/12 12:30,102
20/12/12 11:55,103
20/12/12 10:33,104
20/12/12 9:40,101
19/12/12 22:02,101
19/12/12 21:00,102
19/12/12 18:25,107
19/12/12 15:42,108
19/12/12 14:06,107
19/12/12 13:30,103
19/12/12 13:26,108
19/12/12 12:08,105
19/12/12 6:22,104
18/12/12 22:30,106
18/12/12 21:34,103
18/12/12 20:00,108
18/12/12 16:21,102
18/12/12 16:21,104
18/12/12 13:59,106
18/12/12 12:08,108
18/12/12 10:15,107
18/12/12 8:29,104
18/12/12 1:51,105
17/12/12 21:45,107
17/12/12 20:55,107
17/12/12 19:09,105
17/12/12 18:38,107
17/12/12 18:15,101
17/12/12 17:27,101
17/12/12 15:47,108
17/12/12 15:00,108
17/12/12 12:00,105
17/12/12 11:18,108
17/12/12 10:35,106
17/12/12 9:00,103
17/12/12 7:52,102
17/12/12 7:21,107
16/12/12 18:40,104
16/12/12 18:30,101
16/12/12 18:22,108
16/12/12 18:20,104
16/12/12 17:59,102
16/12/12 15:29,104
16/12/12 14:45,102
16/12/12 7:57,104
15/12/12 19:30,108
15/12/12 18:21,102
15/12/12 17:43,101
15/12/12 15:55,102
15/12/12 14:51,104
15/12/12 14:37,102
15/12/12 10:12,101
15/12/12 3:20,107
14/12/12 19:50,102
14/12/12 17:50,101
14/12/12 17:12,103
14/12/12 15:05,101
14/12/12 15:00,104
14/12/12 13:20,104
14/12/12 12:00,101
14/12/12 9:17,107
14/12/12 7:30,107
13/12/12 21:10,101
13/12/12 19:53,108
13/12/12 19:50,102
13/12/12 15:41,107
13/12/12 12:30,101
13/12/12 10:28,101
12/12/12 21:57,106
12/12/12 19:00,107
12/12/12 18:14,105
12/12/12 12:47,108
12/12/12 12:10,103
12/12/12 11:51,102
12/12/12 7:33,107
11/12/12 23:08,101
11/12/12 19:35,106
11/12/12 16:46,102
11/12/12 16:12,103
11/12/12 16:00,101
11/12/12 12:44,107
11/12/12 11:16,105
11/12/12 11:10,107
11/12/12 10:34,101
10/12/12 21:50,108
10/12/12 21:15,108
10/12/12 19:25,104
10/12/12 16:15,108
10/12/12 13:47,105
10/12/12 13:20,107
10/12/12 13:14,102
10/12/12 11:00,101
10/12/12 8:51,107
10/12/12 8:31,107
10/12/12 8:00,107
10/12/12 8:00,107
9/12/12 20:08,102
9/12/12 18:00,101
9/12/12 17:00,101
9/12/12 10:28,104
9/12/12 1:15,101
8/12/12 19:52,102
8/12/12 19:41,104
8/12/12 18:29,101
8/12/12 17:16,107
8/12/12 15:58,105
8/12/12 15:15,107
8/12/12 15:12,102
8/12/12 9:24,101
8/12/12 2:37,102
8/12/12 1:29,105
7/12/12 21:00,102
7/12/12 17:49,108
7/12/12 17:32,108
7/12/12 16:00,107
7/12/12 11:02,108
7/12/12 10:44,102
6/12/12 20:03,102
6/12/12 19:42,108
6/12/12 19:04,107
6/12/12 18:27,104
6/12/12 17:32,102
6/12/12 14:52,102
6/12/12 13:45,105
6/12/12 12:07,107
6/12/12 12:00,108
5/12/12 20:58,102
5/12/12 19:24,107
5/12/12 18:33,108
5/12/12 18:01,107
5/12/12 18:00,108
5/12/12 18:00,105
5/12/12 17:58,105
5/12/12 16:30,102
5/12/12 15:54,103
5/12/12 14:00,105
5/12/12 12:10,108
5/12/12 1:21,102
5/12/12 0:09,105
4/12/12 18:42,107
4/12/12 18:39,108
4/12/12 18:14,104
4/12/12 17:42,101
4/12/12 16:14,104
4/12/12 14:55,107
4/12/12 12:23,102
4/12/12 9:44,104
4/12/12 8:53,105
4/12/12 7:05,107
3/12/12 22:21,107
3/12/12 21:48,102
3/12/12 20:15,107
3/12/12 19:42,102
3/12/12 18:59,102
3/12/12 17:30,105
3/12/12 17:01,102
3/12/12 16:23,104
3/12/12 16:15,103
3/12/12 16:00,102
3/12/12 15:36,108
3/12/12 11:59,104
2/12/12 16:51,107
2/12/12 16:00,104
1/12/12 20:11,101
1/12/12 20:00,102
1/12/12 18:12,102
1/12/12 18:07,102
1/12/12 15:28,107
1/12/12 14:39,102
1/12/12 14:35,102
1/12/12 10:57,102
30/11/12 22:34,105
30/11/12 22:20,101
30/11/12 18:13,101
30/11/12 17:48,101
30/11/12 16:36,107
30/11/12 14:51,108
30/11/12 13:24,102
30/11/12 11:21,108
30/11/12 10:55,108
30/11/12 9:15,104
30/11/12 9:05,104
30/11/12 9:00,103
29/11/12 21:38,105
29/11/12 20:07,107
29/11/12 18:13,101
29/11/12 14:33,102
29/11/12 9:50,105
29/11/12 9:33,108
29/11/12 6:46,101
28/11/12 18:48,106
28/11/12 18:30,103
28/11/12 7:25,107
27/11/12 20:12,106
27/11/12 17:04,103
27/11/12 16:00,103
27/11/12 13:48,107
27/11/12 13:20,107
26/11/12 21:28,105
26/11/12 19:45,107
26/11/12 18:23,108
26/11/12 18:08,101
26/11/12 16:37,102
26/11/12 16:32,106
26/11/12 13:24,102
26/11/12 13:01,108
26/11/12 12:03,106
26/11/12 10:00,105
26/11/12 8:56,101
25/11/12 21:50,102
25/11/12 20:54,102
25/11/12 15:49,107
25/11/12 14:59,101
25/11/12 13:12,102
25/11/12 13:10,102
25/11/12 13:00,105
25/11/12 11:28,102
24/11/12 19:14,101
24/11/12 15:44,101
24/11/12 2:46,107
24/11/12 0:14,105
23/11/12 23:12,104
23/11/12 17:19,106
23/11/12 16:00,107
23/11/12 10:55,101
23/11/12 0:00,101
22/11/12 11:43,107
22/11/12 6:37,108
21/11/12 23:11,102
21/11/12 19:00,103
21/11/12 18:19,103
21/11/12 16:32,102
21/11/12 15:38,106
21/11/12 11:39,101
21/11/12 9:24,106
21/11/12 6:00,102
20/11/12 20:20,107
20/11/12 18:04,101
20/11/12 15:00,101
20/11/12 10:00,108
20/11/12 8:03,102
20/11/12 7:36,106
19/11/12 21:58,107
19/11/12 21:17,104
19/11/12 19:15,105
19/11/12 18:29,104
19/11/12 18:03,102
19/11/12 16:37,102
19/11/12 14:23,101
19/11/12 11:30,104
19/11/12 8:30,102
18/11/12 21:51,102
